,Time,S1,S2,S3,S4,S5,Event_val,ElapasedTime
50,38:32.7,5.452881813,-1.206562042,8.871273994,0.984452443,0.93730171,1000,965
51,38:32.7,5.214584351,-1.450698853,8.388839722,0.984374306,0.937338836,-999,978
52,38:32.7,5.7915802,-1.160995483,8.900009155,0.984250417,0.937396726,-999,999
53,38:32.7,5.334289551,-1.393234253,8.437927246,0.984120628,0.937457372,-999,1021
54,38:32.7,5.553359985,-1.166976929,8.046478271,0.984026235,0.937501479,-999,1037
55,38:32.8,5.559341431,-1.289093018,7.419189453,0.983902346,0.937559368,-999,1058
56,38:32.8,5.808349609,-1.289093018,7.960281372,0.983719461,0.937644825,-999,1089
57,38:32.8,5.934036255,-1.643432617,8.825790405,0.983595571,0.937702714,-999,1110
58,38:32.8,5.959182739,-1.825393677,9.08795166,0.983542476,0.937727524,-999,1119
59,38:32.8,5.164306641,-1.728424072,8.407989502,0.98337729,0.93780471,-999,1147
60,38:32.9,5.330703735,-1.328582764,7.742416382,0.983306496,0.93783779,-999,1159
61,38:32.9,5.021850586,-1.195709229,8.021331787,0.983182606,0.93789568,-999,1180
62,38:32.9,5.155929565,-0.985031128,8.502563477,0.983088214,0.937939786,-999,1196
63,38:32.9,5.068527222,-1.105926514,8.034500122,0.982923028,0.938016972,-999,1224
64,38:32.9,5.426467896,-1.350143433,8.731216431,0.982810937,0.938069349,-999,1243
65,38:32.9,4.642364502,-1.316619873,8.683319092,0.982740143,0.938102429,-999,1255
66,38:33.0,4.926086426,-1.175354004,8.326599121,0.982569057,0.938182371,-999,1284
67,38:33.0,4.707015991,-1.228042603,7.670578003,0.982510062,0.938209938,-999,1294
68,38:33.0,5.222961426,-1.049667358,7.722061157,0.982392072,0.938265071,-999,1314
69,38:33.0,4.845870972,-1.338165283,8.404403687,0.982274082,0.938320204,-999,1334
70,38:33.0,4.728561401,-1.250778198,8.076400757,0.982132494,0.938386364,-999,1358
71,38:33.1,4.784820557,-1.472244263,7.067245483,0.982032202,0.938433227,-999,1375
72,38:33.1,5.258865356,-1.078399658,8.211669922,0.981926011,0.938482846,-999,1393
73,38:33.1,4.825531006,-1.444702148,8.418762207,0.981796222,0.938543493,-999,1415
74,38:33.1,4.841094971,-1.333374023,8.423553467,0.981690031,0.938593112,-999,1433
75,38:33.1,4.788406372,-1.479431152,7.626296997,0.981548442,0.938659272,-999,1457
76,38:33.2,5.264862061,-1.455490112,7.997390747,0.981442251,0.938708892,-999,1475
77,38:33.2,5.407318115,-1.292678833,8.333770752,0.981330161,0.938761268,-999,1494
78,38:33.2,5.39894104,-1.431533813,8.737197876,0.98121217,0.938816401,-999,1514
79,38:33.2,4.939254761,-1.767929077,8.610305786,0.981105979,0.938866021,-999,1532
80,38:33.2,5.129592896,-1.642242432,8.164993286,0.980964391,0.93893218,-999,1556
81,38:33.3,5.048187256,-1.711669922,8.570800781,0.9808582,0.9389818,-999,1574
82,38:33.3,4.843475342,-1.542877197,8.916763306,0.980763808,0.939025906,-999,1590
83,38:33.3,4.821929932,-1.287887573,9.20526123,0.980598622,0.939103093,-999,1618
84,38:33.3,4.776443481,-1.141845703,9.37046814,0.980510129,0.939144442,-999,1633
85,38:33.3,4.745315552,-1.293869019,8.90838623,0.980415737,0.939188549,-999,1649
86,38:33.4,4.437667847,-1.119110107,8.429534912,0.980226953,0.939276762,-999,1681
87,38:33.4,4.884185791,-1.162200928,7.882476807,0.980126661,0.939323625,-999,1698
88,38:33.4,4.695037842,-1.016143799,8.649810791,0.980061767,0.939353948,-999,1709
89,38:33.4,5.007476807,-1.283096313,8.600738525,0.979943776,0.939409081,-999,1729
90,38:33.4,4.576522827,-1.521331787,8.076400757,0.979802188,0.93947524,-999,1753
91,38:33.5,5.090087891,-1.248382568,8.193710327,0.979690098,0.939527617,-999,1772
92,38:33.5,4.663925171,-1.509353638,7.547271729,0.979507213,0.939613073,-999,1803
93,38:33.5,5.41569519,-1.483016968,8.358917236,0.979412821,0.939657179,-999,1819
94,38:33.5,4.450836182,-1.582382202,7.966262817,0.979365625,0.939679233,-999,1827
95,38:33.5,5.215789795,-1.538085938,7.650238037,0.979247634,0.939734366,-999,1847
96,38:33.6,5.001495361,-1.487808228,8.028518677,0.978681282,0.939999004,-999,1943
97,38:33.6,5.218170166,-1.454284668,8.98739624,0.978622287,0.94002657,-999,1953
98,38:33.6,4.945236206,-1.317810059,8.634246826,0.978604588,0.94003484,-999,1956
99,38:33.7,4.971572876,-1.265136719,7.755569458,0.978575091,0.940048624,-999,1961
100,38:33.7,5.321121216,-0.769546509,8.328994751,0.978563292,0.940054137,-999,1963
101,38:33.7,4.92010498,-0.836578369,7.936340332,0.978533794,0.94006792,-999,1968
102,38:33.7,4.995043945,-0.827960205,7.985183716,0.978471318,0.940108716,1000,1980
103,38:33.7,5.294799805,-0.793487549,8.180557251,0.978221415,0.940271898,-999,2028
104,38:33.7,5.045791626,-0.856933594,7.596359253,0.978206316,0.940282579,-999,2031
105,38:33.7,5.708984375,-0.794692993,7.240829468,0.978171085,0.940307502,-999,2038
106,38:33.7,5.708984375,-0.991012573,6.805084229,0.978140887,0.940328864,-999,2044
107,38:33.8,5.604827881,-0.761169434,6.358566284,0.977989896,0.940435675,-999,2074
108,38:33.8,5.7915802,-1.137054443,7.186950684,0.977944599,0.940467719,-999,2083
109,38:33.8,5.548568726,-1.346557617,7.991409302,0.977738245,0.940613694,-999,2124
110,38:33.8,6.32069397,-1.767929077,8.251174927,0.977728179,0.940620815,-999,2126
111,38:33.8,5.833480835,-1.909179688,8.495391846,0.977567123,0.940734747,-999,2158
112,38:33.9,5.761657715,-1.927139282,8.831771851,0.977154415,0.941026698,-999,2240
113,38:33.9,5.864608765,-1.825393677,9.21723938,0.977134283,0.94104094,-999,2244
114,38:33.9,5.94480896,-1.307037354,9.429122925,0.977114151,0.941055181,-999,2248
115,38:33.9,5.620391846,-1.188537598,8.885635376,0.97707892,0.941080104,-999,2255
116,38:34.0,5.379776001,-1.101150513,8.084777832,0.977038656,0.941108587,-999,2263
117,38:34.0,5.742507935,-0.755187988,7.901626587,0.977023557,0.941119268,-999,2266
118,38:34.0,5.561737061,-0.953903198,8.090759277,0.976827269,0.941258123,-999,2305
119,38:34.0,5.845458984,-1.348937988,7.590377808,0.976802104,0.941275925,-999,2310
120,38:34.0,5.014663696,-1.004180908,7.082809448,0.976691377,0.941354253,-999,2332
121,38:34.1,5.25050354,-1.134658813,6.842193604,0.976555486,0.941450383,-999,2359
122,38:34.1,4.379013062,-1.661392212,6.141876221,0.976515222,0.941478866,-999,2367
123,38:34.1,5.515060425,-1.086776733,5.593612671,0.976419594,0.941546513,-999,2386
124,38:34.1,7.023406982,-1.206481934,7.117523193,0.976339066,0.941603479,-999,2402
125,38:34.1,6.130371094,-1.485412598,9.891204834,0.976238406,0.941674687,-999,2422
126,38:34.1,6.348236084,-1.656600952,9.730789185,0.976152844,0.941735213,-999,2439
127,38:34.2,6.179443359,-1.077209473,8.798248291,0.975986755,0.941852706,-999,2472
128,38:34.2,6.238098145,-1.123886108,7.917190552,0.975931392,0.94189187,-999,2483
129,38:34.2,6.370986938,-0.903625488,7.081604004,0.975855896,0.941945275,-999,2498
130,38:34.2,6.834259033,-0.824615479,7.329406738,0.975740137,0.942027164,-999,2521
131,38:34.2,6.417678833,-1.034103394,8.204483032,0.975609278,0.942119734,-999,2547
132,38:34.3,6.916854858,-1.153808594,8.063232422,0.975287165,0.942347598,-999,2611
133,38:34.3,6.617584229,-1.260360718,8.178146362,0.975262,0.9423654,-999,2616
134,38:34.3,7.116775513,-1.315429688,8.056045532,0.975251934,0.942372521,-999,2618
135,38:34.3,6.505050659,-1.086776733,8.350540161,0.975241868,0.942379642,-999,2620
136,38:34.3,6.733703613,-0.704910278,7.915985107,0.975141208,0.942450849,-999,2640
137,38:34.4,6.866577148,-0.890457153,8.271530151,0.975000283,0.94255054,-999,2668
138,38:34.4,6.451187134,-1.231628418,7.830993652,0.974879491,0.942635989,-999,2692
139,38:34.4,6.414077759,-1.366897583,7.123504639,0.974844259,0.942660911,-999,2699
140,38:34.4,6.433227539,-1.449508667,7.570022583,0.974743599,0.942732119,-999,2719
141,38:34.4,5.960372925,-2.061218262,8.577987671,0.974658038,0.942792645,-999,2736
142,38:34.4,7.837432861,-1.778701782,10.3915863,0.974552344,0.942867413,-999,2757
143,38:34.5,5.406112671,-2.058822632,8.56362915,0.974446651,0.942942181,-999,2778
144,38:34.5,6.743286133,-1.292678833,7.321029663,0.97436109,0.943002708,-999,2795
145,38:34.5,5.481536865,-0.739624023,6.900848389,0.97424533,0.943084596,-999,2818
146,38:34.5,6.104034424,-1.214874268,7.234832764,0.974114472,0.943177166,-999,2844
147,38:34.6,6.004669189,-1.162200928,7.101959229,0.973555807,0.943572368,-999,2955
148,38:34.6,6.959960938,-0.768356323,7.086395264,0.973545741,0.943579489,-999,2957
149,38:34.7,6.033401489,-0.914398193,7.103149414,0.973500443,0.943611532,-999,2966
150,38:34.7,6.448791504,-0.763565063,6.53692627,0.973480311,0.943625774,-999,2970
151,38:34.7,5.919677734,-0.645050049,7.413208008,0.973460179,0.943640015,-999,2974
152,38:34.7,6.672653198,-0.542098999,7.683746338,0.973414882,0.943672058,-999,2983
153,38:34.7,6.433227539,-0.734832764,7.253982544,0.973374618,0.943700542,-999,2991
154,38:34.7,6.610412598,-0.938339233,6.794296265,0.973349453,0.943718343,-999,2996
155,38:34.7,6.230926514,-1.538085938,7.245605469,0.97317833,0.943839396,-999,3030
156,38:34.7,8.372528076,-1.930740356,9.934295654,0.973143099,0.943864319,-999,3037
157,38:34.7,8.713189261,-1.924838474,10.83442906,0.97312194,0.94387451,1000,3040
158,38:34.7,9.962280273,-1.903198242,14.13491821,0.973044355,0.943911876,-999,3051
159,38:34.8,5.943618774,-1.777511597,9.328567505,0.972831439,0.944005744,-999,3079
160,38:34.8,6.004669189,-1.747573853,5.61038208,0.972641336,0.944089554,-999,3104
161,38:34.8,7.325073242,-1.303451538,5.622344971,0.972595712,0.944109668,-999,3110
162,38:34.8,6.040588379,-0.821014404,5.88331604,0.972337172,0.94422365,-999,3144
163,38:34.9,6.449981689,-1.617095947,6.823043823,0.972192693,0.944287346,-999,3163
164,38:34.9,7.380142212,-1.324996948,7.626296997,0.972147069,0.94430746,-999,3169
165,38:34.9,6.007064819,-1.502166748,8.283493042,0.971994986,0.944374508,-999,3189
166,38:34.9,5.354644775,-1.828979492,6.657836914,0.971759259,0.944478432,-999,3220
167,38:34.9,6.028610229,-0.967071533,6.00541687,0.971622384,0.944538776,-999,3238
168,38:34.9,4.99671936,-0.773132324,6.40524292,0.971538739,0.944575652,-999,3249
169,38:35.0,5.814331055,-0.774337769,7.960281372,0.971295407,0.944682929,-999,3281
170,38:35.0,5.577301025,-0.804260254,7.273147583,0.971196554,0.94472651,-999,3294
171,38:35.0,5.57371521,-1.181350708,6.681777954,0.971090096,0.944773444,-999,3308
172,38:35.0,4.855453491,-1.639831543,6.533340454,0.970938014,0.944840492,-999,3328
173,38:35.0,5.488723755,-1.319015503,5.621139526,0.970770723,0.944914245,-999,3350
174,38:35.1,5.991500854,-1.153808594,6.200546265,0.970618641,0.944981293,-999,3370
175,38:35.1,5.749679565,-1.374084473,7.677764893,0.970382913,0.945085217,-999,3401
176,38:35.1,5.912490845,-1.316619873,6.919998169,0.970223227,0.945155618,-999,3422
177,38:35.1,6.473937988,-0.985031128,7.808242798,0.970169998,0.945179085,-999,3429
178,38:35.1,7.530975342,-0.908401489,9.259140015,0.970033124,0.945239428,-999,3447
179,38:35.2,6.089660645,-1.196914673,10.14259338,0.969888645,0.945303124,-999,3466
180,38:35.2,5.62638855,-0.835388184,7.789093018,0.96967573,0.945396991,-999,3494
181,38:35.2,6.924041748,-0.780319214,6.732055664,0.969500835,0.945474096,-999,3517
182,38:35.2,6.202194214,-0.877288818,7.145065308,0.969325941,0.945551201,-999,3540
183,38:35.2,6.613998413,-0.886871338,7.688537598,0.969272712,0.945574668,-999,3547
184,38:35.3,7.255645752,-1.236419678,8.224838257,0.969105421,0.945648421,-999,3569
185,38:35.3,6.581665039,-1.298675537,8.342163086,0.96890011,0.945738936,-999,3596
186,38:35.3,6.330276489,-1.493789673,8.102737427,0.968778444,0.945792574,-999,3612
187,38:35.3,7.259231567,-1.169372559,7.540100098,0.96867959,0.945836156,-999,3625
188,38:35.3,6.198608398,-0.769546509,7.884872437,0.968489487,0.945919966,-999,3650
189,38:35.4,6.961151123,-0.906021118,7.851348877,0.968345009,0.945983661,-999,3669
190,38:35.4,6.212966919,-1.436325073,6.848175049,0.968238551,0.946030595,-999,3683
191,38:35.4,7.930801392,-1.441116333,8.215270996,0.968025636,0.946124462,-999,3711
192,38:35.4,6.931228638,-1.828979492,8.951477051,0.967911574,0.946174748,-999,3726
193,38:35.4,6.551742554,-1.694900513,7.566436768,0.9677747,0.946235092,-999,3744
194,38:35.5,6.939605713,-0.853347778,6.881698608,0.967622618,0.94630214,-999,3764
195,38:35.5,6.613998413,-0.698928833,7.796279907,0.967485744,0.946362483,-999,3782
196,38:35.5,6.137542725,-0.985031128,7.790298462,0.967227204,0.946476465,-999,3816
197,38:35.5,6.449996948,-0.42477417,7.072036743,0.967105538,0.946530103,-999,3832
198,38:35.6,6.369781494,-0.423583984,7.111541748,0.966694915,0.946711133,-999,3886
199,38:35.6,6.130371094,-0.856933594,7.166610718,0.966664499,0.946724542,-999,3890
200,38:35.6,5.833480835,-0.971862793,6.496231079,0.96661127,0.946748009,-999,3897
201,38:35.6,6.088470459,-0.888061523,6.389694214,0.966565645,0.946768124,-999,3903
202,38:35.6,6.466471055,-1.039883782,6.828879861,0.966476284,0.946803598,1000,3914
203,38:35.6,6.672653198,-1.122695923,7.068435669,0.966427542,0.946822947,-999,3920
204,38:35.6,5.837081909,-1.517730713,6.965484619,0.966218785,0.946891744,-999,3943
205,38:35.7,7.389709473,-1.572799683,7.397644043,0.965991875,0.946966524,-999,3968
206,38:35.7,6.485900879,-1.773910522,8.301452637,0.965774041,0.947038312,-999,3992
207,38:35.7,6.379364014,-1.769119263,7.609527588,0.965592513,0.947098136,-999,4012
208,38:35.7,6.988693237,-1.870880127,6.650650024,0.965528978,0.947119074,-999,4019
209,38:35.7,6.964736938,-1.249588013,7.537704468,0.965347451,0.947178898,-999,4039
210,38:35.8,6.509841919,-1.171783447,7.749588013,0.965120541,0.947253678,-999,4064
211,38:35.8,6.621170044,-1.083190918,7.094772339,0.964957166,0.947307519,-999,4082
212,38:35.8,5.910095215,-1.247192383,7.306671143,0.96482102,0.947352387,-999,4097
213,38:35.8,6.354217529,-1.654205322,7.082809448,0.964630415,0.947415202,-999,4118
214,38:35.8,6.041778564,-1.679351807,6.748809814,0.964376276,0.947498955,-999,4146
215,38:35.9,5.969955444,-1.717651367,6.894851685,0.964221977,0.947549805,-999,4163
216,38:35.9,6.625961304,-1.605117798,7.614318848,0.964058602,0.947603646,-999,4181
217,38:35.9,6.295562744,-1.915176392,8.844940186,0.963904304,0.947654497,-999,4198
218,38:35.9,6.361404419,-2.185714722,9.706848145,0.963740929,0.947708338,-999,4216
219,38:35.9,6.192611694,-2.060012817,8.797058105,0.963477713,0.947795082,-999,4245
220,38:35.9,6.245285034,-1.570404053,8.328994751,0.963377873,0.947827985,-999,4256
221,38:36.0,5.910095215,-1.344146729,8.779098511,0.963150963,0.947902765,-999,4281
222,38:36.0,5.255279541,-1.601531982,8.296661377,0.963014817,0.947947633,-999,4296
223,38:36.0,5.40133667,-1.272323608,7.609527588,0.962851442,0.948001474,-999,4314
224,38:36.0,6.664276123,-1.836166382,7.391662598,0.962660837,0.948064289,-999,4335
225,38:36.1,5.29119873,-2.049255371,9.405181885,0.962343164,0.94816898,-999,4370
226,38:36.1,4.741729736,-1.765533447,7.338989258,0.962288705,0.948186928,-999,4376
227,38:36.1,7.074874878,-1.793075562,7.426376343,0.962116254,0.94824376,-999,4395
228,38:36.1,5.003890991,-1.660186768,8.519332886,0.961934726,0.948303584,-999,4415
229,38:36.1,4.981155396,-1.475845337,6.964294434,0.961771351,0.948357425,-999,4433
230,38:36.2,7.131134033,-1.307052612,7.239624023,0.961489982,0.948450152,-999,4464
231,38:36.2,5.977127075,-1.473449707,9.491363525,0.961353836,0.94849502,-999,4479
232,38:36.2,4.629196167,-1.862503052,8.508544922,0.961235843,0.948533905,-999,4492
233,38:36.2,6.505065918,-0.988616943,7.845352173,0.961054315,0.948593729,-999,4512
234,38:36.2,5.56413269,-1.181350708,8.858108521,0.960872787,0.948653552,-999,4532
235,38:36.2,4.480758667,-1.254379272,9.123855591,0.96069126,0.948713376,-999,4552
236,38:36.3,5.153533936,-1.295074463,7.751983643,0.960518808,0.948770209,-999,4571
237,38:36.3,5.336685181,-1.462677002,7.675369263,0.960264669,0.948853962,-999,4599
238,38:36.3,4.484359741,-1.210083008,8.643829346,0.96011037,0.948904812,-999,4616
239,38:36.3,4.629196167,-1.093963623,7.081604004,0.959974224,0.94894968,-999,4631
240,38:36.3,4.843490601,-0.439147949,6.711700439,0.959792696,0.949009503,-999,4651
241,38:36.4,4.989532471,-0.885665894,7.566436768,0.959520405,0.949099239,-999,4681
242,38:36.4,5.39654541,-0.663009644,8.115905762,0.959366106,0.949150089,-999,4698
243,38:36.4,5.81791687,-0.748001099,8.279907227,0.959193654,0.949206922,-999,4717
244,38:36.4,6.102828979,-0.868896484,8.801834106,0.959030279,0.949260763,-999,4735
245,38:36.4,5.543792725,-0.757568359,8.98979187,0.958894133,0.949305631,-999,4750
246,38:36.5,6.388946533,-0.496612549,8.83416748,0.958721682,0.949362463,-999,4769
247,38:36.5,6.137542725,-0.516952515,8.777893066,0.958476619,0.949443225,-999,4796
248,38:36.5,5.92565918,-0.318237305,8.585159302,0.958267862,0.949512023,-999,4819
249,38:36.6,6.036987305,-0.706100464,7.318634033,0.957559903,0.949745335,-999,4897
250,38:36.6,7.115570068,-0.715682983,7.834579468,0.957487292,0.949769264,-999,4905
251,38:36.6,6.329086304,-0.774337769,8.854522705,0.957460063,0.949778238,-999,4908
252,38:36.6,6.088470459,-0.416397095,8.332580566,0.957432833,0.949787212,-999,4911
253,38:36.6,6.794754028,-0.467880249,8.446304321,0.957360222,0.949811141,-999,4919
254,38:36.6,6.530197144,-0.15184021,9.788253784,0.957251306,0.949847035,-999,4931
255,38:36.6,6.447038778,-0.239309692,9.60948588,0.957219663,0.949856685,1000,4935
256,38:36.7,5.906509399,-0.807861328,8.447494507,0.957013986,0.949919412,-999,4961
257,38:36.7,6.057342529,-1.042480469,7.983016968,0.956967598,0.949933354,-999,4967
258,38:36.7,5.009887695,-1.187332153,7.614318848,0.956758852,0.94999609,-999,4994
259,38:36.7,6.567306519,-0.941925049,7.953094482,0.956534644,0.950063473,-999,5023
260,38:36.7,5.233734131,-1.384857178,7.303070068,0.95651145,0.950070444,-999,5026
261,38:36.7,5.808349609,-0.789901733,7.784301758,0.95633363,0.950123886,-999,5049
262,38:36.8,4.872207642,-0.43196106,7.707687378,0.956202198,0.950163386,-999,5066
263,38:36.8,4.411331177,-0.715682983,6.186172485,0.956047571,0.950209857,-999,5086
264,38:36.8,4.564559937,-0.791091919,5.439193726,0.955892945,0.950256328,-999,5106
265,38:36.9,6.089660645,0.371307373,6.310668945,0.955127545,0.95048636,-999,5205
266,38:36.9,5.087692261,-0.538497925,7.646636963,0.95509662,0.950495655,-999,5209
267,38:36.9,4.608856201,-0.433166504,8.763534546,0.955073426,0.950502625,-999,5212
268,38:36.9,4.869812012,-0.721664429,7.761566162,0.955019307,0.95051889,-999,5219
269,38:36.9,5.111633301,-0.742004395,7.629882813,0.954957456,0.950537479,-999,5227
270,38:36.9,5.87298584,-1.465057373,7.905212402,0.954918799,0.950549096,-999,5232
271,38:37.0,6.435623169,-1.201690674,9.266326904,0.954679129,0.950621127,-999,5263
272,38:37.0,5.09967041,-0.680969238,9.402786255,0.954632741,0.950635068,-999,5269
273,38:37.0,5.639556885,-0.546890259,8.91557312,0.954524502,0.950667598,-999,5283
274,38:37.0,5.60005188,-0.750396729,8.346954346,0.954354413,0.950718716,-999,5305
275,38:37.0,3.717010498,-0.736022949,6.760787964,0.954137937,0.950783776,-999,5333
276,38:37.0,5.937637329,-1.144241333,5.446365356,0.95398331,0.950830247,-999,5353
277,38:37.1,6.34703064,-0.710891724,8.137451172,0.953820953,0.950879042,-999,5374
278,38:37.1,5.100860596,-0.858123779,12.3069458,0.953712714,0.950911571,-999,5388
279,38:37.1,6.585266113,-1.691314697,10.31976318,0.953612207,0.950941778,-999,5401
280,38:37.1,5.720962524,-1.679336548,10.04443359,0.953387999,0.951009161,-999,5430
281,38:37.1,5.339080811,-1.362106323,9.575164795,0.953302955,0.95103472,-999,5441
282,38:37.2,5.386962891,-1.319015503,8.190124512,0.95315606,0.951078868,-999,5460
283,38:37.2,5.166702271,-0.513366699,8.84375,0.952978239,0.951132309,-999,5483
284,38:37.2,5.246902466,-0.799468994,9.13583374,0.952738569,0.95120434,-999,5514
285,38:37.2,5.407318115,-0.868911743,9.249557495,0.952684449,0.951220605,-999,5521
286,38:37.2,5.240921021,-0.964675903,10.51849365,0.95251436,0.951271723,-999,5543
287,38:37.3,3.803207397,-1.595550537,8.309829712,0.952352003,0.951320518,-999,5564
288,38:37.3,3.720596313,-1.011352539,6.773956299,0.952174183,0.951373959,-999,5587
289,38:37.3,4.835098267,-0.858123779,7.808242798,0.952011825,0.951422754,-999,5608
290,38:37.3,4.122833252,-0.897628784,10.75550842,0.951903587,0.951455284,-999,5622
291,38:37.3,3.532653809,-1.594345093,9.556015015,0.951764423,0.951497108,-999,5640
292,38:37.4,3.550613403,-1.784683228,7.730438232,0.951594334,0.951548226,-999,5662
293,38:37.4,2.885025024,-1.565612793,7.134277344,0.951447439,0.951592374,-999,5681
294,38:37.4,2.468429565,-1.175354004,6.07244873,0.951316007,0.951631874,-999,5698
295,38:37.4,3.523086548,-0.637863159,6.52973938,0.951145918,0.951682992,-999,5720
296,38:37.4,2.88621521,-0.65461731,8.396026611,0.950929441,0.951748052,-999,5748
297,38:37.5,2.855102539,-0.955093384,7.645446777,0.950798009,0.951787553,-999,5765
298,38:37.5,3.256118774,-0.267959595,8.355331421,0.950712964,0.951813112,-999,5776
299,38:37.5,3.056213379,-0.586395264,8.88684082,0.950558338,0.951859583,-999,5796
300,38:37.6,2.962844849,-0.710891724,7.951904297,0.949908907,0.952054762,-999,5880
301,38:37.6,4.045013428,-0.419998169,8.449890137,0.949816132,0.952082644,-999,5892
302,38:37.6,3.764892578,-0.138671875,10.65016174,0.94974655,0.952103556,-999,5901
303,38:37.6,2.233810425,-0.509780884,11.76107788,0.949715624,0.952112851,-999,5905
304,38:37.6,3.259719849,-0.694122314,10.29342651,0.949700162,0.952117498,-999,5907
305,38:37.7,3.775665283,-0.494216919,10.21801758,0.949274939,0.952245293,-999,5962
306,38:37.7,3.445266724,-0.937133789,10.73277283,0.949251746,0.952252264,-999,5965
307,38:37.7,4.083312988,-1.152618408,11.78262329,0.949228552,0.952259235,-999,5968
308,38:37.7,3.845108032,-1.026916504,10.90994263,0.949182164,0.952273176,-999,5974
309,38:37.7,4.186279297,-1.188529968,10.14049912,0.949041111,0.952320113,1000,5992
